CAMPIONATO ITALIANO DUATHLON CROSS | 08-03-2026 | Spresiano (Treviso) | Veneto | Duathlon Super Sprint MTB		Giovanile | 
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | Duathlon Sprint		Bronze | 
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | Duathlon Sprint		Gold | 
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | Duathlon Sprint		Silver | 
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | Duathlon Super Sprint		Silver Paratriathlon | 
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | Duathlon Super Sprint		Silver | 
CAMPIONATO ITALIANO UNIVERSITARIO CAMPIONATO ITALIANO PARATRIATHLON | 16-05-2026 | Loano (Savona) | Liguria | Triathlon		Paratriathlon | 
CAMPIONATO ITALIANO UNIVERSITARIO CAMPIONATO ITALIANO PARATRIATHLON | 16-05-2026 | Loano (Savona) | Liguria | Triathlon Kids | 
CAMPIONATO ITALIANO UNIVERSITARIO CAMPIONATO ITALIANO PARATRIATHLON | 16-05-2026 | Loano (Savona) | Liguria | Triathlon Sprint		Silver | 
CAMPIONATO ITALIANO UNIVERSITARIO CAMPIONATO ITALIANO PARATRIATHLON | 16-05-2026 | Loano (Savona) | Liguria | Triathlon Sprint | 
CAMPIONATO ITALIANO UNIVERSITARIO CAMPIONATO ITALIANO PARATRIATHLON | 16-05-2026 | Loano (Savona) | Liguria | Triathlon Youth | 
CHALLENGE CESENATICO 2026 | 10-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | Aquabike Lungo | 
CHALLENGE CESENATICO 2026 | 10-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | Duathlon Kids		Giovanile Paratriathlon | 
CHALLENGE CESENATICO 2026 | 10-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | Duathlon Miniduathlon		Giovanile Paratriathlon | 
CHALLENGE CESENATICO 2026 | 10-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | Triathlon Medio		Internazionale | 
CHALLENGE CESENATICO 2026 | 10-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | Triathlon Sprint		Silver | 
CHIATRI - FOLLOWYOURPASSION | 01-05-2026 | Domus de Maria (Carbonia) | Sardegna | Triathlon Medio		Silver | 
CHIATRI - FOLLOWYOURPASSION | 01-05-2026 | Domus de Maria (Carbonia) | Sardegna | Triathlon Olimpico		Silver | 
CHIATRI - FOLLOWYOURPASSION | 01-05-2026 | Domus de Maria (Carbonia) | Sardegna | Triathlon Sprint		Silver | 
CIRCUITO LE 5 PROVINCE - PRIMA TAPPA | 08-03-2026 | Cas Velino (Serno) | Campania | Aquathlon Kids | 
CIRCUITO LE 5 PROVINCE - PRIMA TAPPA | 08-03-2026 | Cas Velino (Serno) | Campania | Aquathlon Super Sprint | 
